Author,Year,Title,Abstract,Combined(Title+Abstract),Target
"Kummitha, Rama Krishna Reddy and Crutzen, Nathalie",2017,{How do we understand smart cities? An evolutionary perspective,"Smart city approaches in city planning have gained significant momentum in the recent past. While proponents argue that smart cities will bring positive social change by the adoption of ICTs, enriched governance and human capital among the citizenry, opponents point out about the negative effects and gaps exist in their planning and execution. Despite efforts to promote its practice, there has been wide criticism about the concept and the way it has been adopted and implemented. The roles of various players, especially the central role of the private sector, is often challenged in the academic literature. A variety of expectations from various stakeholders make the potential implementation strategies even more complex. The current paper reviews the research in the field to date to find that there are conflicting views in smart city planning, which limit our knowledge about the ‘real' smart city and its implications for building creative and inclusive urban space. Such uncertainty at the conceptual level, and the heightened importance given by policy makers and markets to its adoption, highlights the need for proper scrutiny. The paper clusters the various views pertaining to the building of smart cities and, thereby, proposes a 3RC framework, consisting of Restrictive, Reflective, Rationalistic and Critical schools, which critically analyses various stages in the development of the field. The overall aim of the paper is to understand how smart cities differ in their meanings, intentions and ‘offerings'.","{How do we understand smart cities? An evolutionary perspectiveSmart city approaches in city planning have gained significant momentum in the recent past. While proponents argue that smart cities will bring positive social change by the adoption of ICTs, enriched governance and human capital among the citizenry, opponents point out about the negative effects and gaps exist in their planning and execution. Despite efforts to promote its practice, there has been wide criticism about the concept and the way it has been adopted and implemented. The roles of various players, especially the central role of the private sector, is often challenged in the academic literature. A variety of expectations from various stakeholders make the potential implementation strategies even more complex. The current paper reviews the research in the field to date to find that there are conflicting views in smart city planning, which limit our knowledge about the ‘real' smart city and its implications for building creative and inclusive urban space. Such uncertainty at the conceptual level, and the heightened importance given by policy makers and markets to its adoption, highlights the need for proper scrutiny. The paper clusters the various views pertaining to the building of smart cities and, thereby, proposes a RC framework, consisting of Restrictive, Reflective, Rationalistic and Critical schools, which critically analyses various stages in the development of the field. The overall aim of the paper is to understand how smart cities differ in their meanings, intentions and ‘offerings'.",1
"Guo, Minjie and Liu, Yiheng and Yu, Haibin and Hu, Binyu and Sang, Ziqin",2016,{An overview of smart city in China,"The year of 2013 is considered the first year of smart city in China. With the development of informationization and urbanization in China, city diseases (traffic jam, medical problem and unbalanced education) are more and more apparent. Smart city is the key to solving these diseases. This paper presents the overall smart city development in China in term of market scale and development stages, the technology standards, and industry layout. The paper claims that the issues and challenges facing smart city development in China and proposes to make polices to support smart city development.","{An overview of smart city in ChinaThe year of  is considered the first year of smart city in China. With the development of informationization and urbanization in China, city diseases (traffic jam, medical problem and unbalanced education) are more and more apparent. Smart city is the key to solving these diseases. This paper presents the overall smart city development in China in term of market scale and development stages, the technology standards, and industry layout. The paper claims that the issues and challenges facing smart city development in China and proposes to make polices to support smart city development.",1
"Sancino, Alessandro and Hudson, Lorraine",2020,"{Leadership in, of, and for smart cities–case studies from Europe, America, and Australia","This paper analyses leadership in, of, and for smart cities. Using a multi-case study research design and Mode 2 research (based upon collaboration between a scholar and a practitioner), we explore smart city initiatives in Europe (Amsterdam, Bristol, and Milton Keynes), North and South America (Chicago and Curitiba), and Australia (Melbourne). We undertake a comparative analysis which looks at leadership through six lenses: place, purpose, person, position, process, and performance. From our analysis four modes of smart city leadership emerge: smart cities as digital government, smart cities as digital driver for economic growth, smart cities as an open platform for digital socio-political innovation, and smart cities as an open platform for digital economy.","{Leadership in, of, and for smart cities–case studies from Europe, America, and AustraliaThis paper analyses leadership in, of, and for smart cities. Using a multi-case study research design and Mode  research (based upon collaboration between a scholar and a practitioner), we explore smart city initiatives in Europe (Amsterdam, Bristol, and Milton Keynes), North and South America (Chicago and Curitiba), and Australia (Melbourne). We undertake a comparative analysis which looks at leadership through six lenses: place, purpose, person, position, process, and performance. From our analysis four modes of smart city leadership emerge: smart cities as digital government, smart cities as digital driver for economic growth, smart cities as an open platform for digital socio-political innovation, and smart cities as an open platform for digital economy.",1
"Naphade, Milind and Banavar, Guruduth and Harrison, Colin and Paraszczak, Jurij and Morris, Robert",2011,{Smarter cities and their innovation challenges,"The transformation to smarter cities will require innovation in planning, management, and operations. Several ongoing projects around the world illustrate the opportunities and challenges of this transformation. {\textcopyright","{Smarter cities and their innovation challengesThe transformation to smarter cities will require innovation in planning, management, and operations. Several ongoing projects around the world illustrate the opportunities and challenges of this transformation. {\textcopyright",1
"van der Graaf, Shenja and Ballon, Pieter",2019,{Navigating platform urbanism,"The smart city imaginary has become a recurring theme within critical urban geography and entails a distinct set of rationalities. Here, we are interested in grappling with the current ‘place' of smart cities in the context of what seems to be an emerging platform urbanism, thereby highlighting a complex platform-based ecosystem encompassing private and public organisations and citizens. Our point of departure is the operationalization of three intertwined trends associated with the conceptualizations of participation, mediatisation and (multi-sided) platformisation. Through the examination of (social) traffic and navigation application, Waze, we explore manifestations of (contested) dynamics in mobility practices occurring between commerce and community in the public space of the city. The preliminary findings point to the emergence of new socio-spatial constructs which afford a better frame of ‘what is going on' challenging the smart city framework as a planning and development paradigm. In putting forward the notion of public value and ownership, it is our aim to prompt a critical debate about platform urbanism made explicit by a driving politics that offers a window to a future driving world, urging cities and governments to anticipate and mitigate (un)intended consequences.","{Navigating platform urbanismThe smart city imaginary has become a recurring theme within critical urban geography and entails a distinct set of rationalities. Here, we are interested in grappling with the current ‘place' of smart cities in the context of what seems to be an emerging platform urbanism, thereby highlighting a complex platform-based ecosystem encompassing private and public organisations and citizens. Our point of departure is the operationalization of three intertwined trends associated with the conceptualizations of participation, mediatisation and (multi-sided) platformisation. Through the examination of (social) traffic and navigation application, Waze, we explore manifestations of (contested) dynamics in mobility practices occurring between commerce and community in the public space of the city. The preliminary findings point to the emergence of new socio-spatial constructs which afford a better frame of ‘what is going on' challenging the smart city framework as a planning and development paradigm. In putting forward the notion of public value and ownership, it is our aim to prompt a critical debate about platform urbanism made explicit by a driving politics that offers a window to a future driving world, urging cities and governments to anticipate and mitigate (un)intended consequences.",1
"Gupta, Parul and Chauhan, Sumedha and Jaiswal, M. P.",2019,{Classification of Smart City Research - a Descriptive Literature Review and Future Research Agenda,"Smart City (SC) has been a popular area of research and practice during the last decade. An in-depth examination of the existing literature reviews on SCs divulges the scarcity of studies classifying the literature into multiple themes and identifying the popular and less popular themes based on the number of peer reviewed research papers under respective theme. Hence, in this study, a descriptive literature review of 86 peer-reviewed papers on SCs has been conducted to bridge this gap. The findings demonstrate that themes such as SC services design and management, innovation and technology, and citizens' engagement in design and development of SCs have been extensively studied, whereas, themes such as the social impact, governance and policy, and performance indicators and standards have received moderate attention. However, there are also less popular themes such as the implementation barriers and SC strategy. Further, this study provides a reference source to future researchers. It also delivers valuable information to the policymakers and government bodies, which are actively, involved in the SC projects.","{Classification of Smart City Research - a Descriptive Literature Review and Future Research AgendaSmart City (SC) has been a popular area of research and practice during the last decade. An in-depth examination of the existing literature reviews on SCs divulges the scarcity of studies classifying the literature into multiple themes and identifying the popular and less popular themes based on the number of peer reviewed research papers under respective theme. Hence, in this study, a descriptive literature review of  peer-reviewed papers on SCs has been conducted to bridge this gap. The findings demonstrate that themes such as SC services design and management, innovation and technology, and citizens' engagement in design and development of SCs have been extensively studied, whereas, themes such as the social impact, governance and policy, and performance indicators and standards have received moderate attention. However, there are also less popular themes such as the implementation barriers and SC strategy. Further, this study provides a reference source to future researchers. It also delivers valuable information to the policymakers and government bodies, which are actively, involved in the SC projects.",1
"Hollands, Robert G.",2008,"{Will the real smart city please stand up? Intelligent, progressive or entrepreneurial?","Debates about the future of urban development in many Western countries have been increasingly influenced by discussions of smart cities. Yet despite numerous examples of this 'urban labelling' phenomenon, we know surprisingly little about so-called smart cities, particularly in terms of what the label ideologically reveals as well as hides. Due to its lack of definitional precision, not to mention an underlying self-congratulatory tendency, the main thrust of this article is to provide a preliminary critical polemic against some of the more rhetorical aspects of smart cities. The primary focus is on the labelling process adopted by some designated smart cities, with a view to problematizing a range of elements that supposedly characterize this new urban form, as well as question some of the underlying assumptions/ contradictions hidden within the concept. To aid this critique, the article explores to what extent labelled smart cities can be understood as a high-tech variation of the 'entrepreneurial city', as well as speculates on some general principles which would make them more progressive and inclusive.","{Will the real smart city please stand up? Intelligent, progressive or entrepreneurial?Debates about the future of urban development in many Western countries have been increasingly influenced by discussions of smart cities. Yet despite numerous examples of this 'urban labelling' phenomenon, we know surprisingly little about so-called smart cities, particularly in terms of what the label ideologically reveals as well as hides. Due to its lack of definitional precision, not to mention an underlying self-congratulatory tendency, the main thrust of this article is to provide a preliminary critical polemic against some of the more rhetorical aspects of smart cities. The primary focus is on the labelling process adopted by some designated smart cities, with a view to problematizing a range of elements that supposedly characterize this new urban form, as well as question some of the underlying assumptions/ contradictions hidden within the concept. To aid this critique, the article explores to what extent labelled smart cities can be understood as a high-tech variation of the 'entrepreneurial city', as well as speculates on some general principles which would make them more progressive and inclusive.",1
Radovanovi{\'{c,2023,{Rethinking Digital Literacy | American Libraries Magazine,"Amid the opportunities and challenges we face at the dawn of the fifth industrial revolution, Digital Literacy and Inclusion presents a carefully curated selection of case studies, theories, research, and best practices based on digital literacy as a prerequisite for effective digital inclusion More than a dozen experts provide deep insights in stories, research reports, and geographical studies of digital literacy and inclusion models, all from a multi-disciplinary perspective that includes engineering, social sciences, and education. Digital Literacy and Inclusion also highlights a showcase of real-world digital literacy initiatives that have been adopted by communities of practice around the globe. Contributors explore myriad aspects and modalities of digital literacy: digital skills related to creativity, urban data literacy, digital citizenship skills, digital literacy in education, connectivity literacy, online safety skills, problem-solving and critical-thinking digital skills, data literacy skills, mobile digital literacy, algorithmic digital skills, digital health skills, etc. They share the principles and techniques behind successful initiatives and examine the dynamics and structures that enable communities to achieve digital literacy efficiently and sustainably. Their practical solutions, propositions, and findings provide theoretically grounded and evidence-based facts that inform interventions intended to ensure that all citizens have and can enhance their digital literacy while meaningfully and responsibly participating in the digital economy and society. The ideas and histories in this book will appeal to scholars and researchers in the social sciences, engineering, education, sustainable digital technologies, and transformation, and will also be of interest to practitioners in industry, policy, and government.","{Rethinking Digital Literacy | American Libraries MagazineAmid the opportunities and challenges we face at the dawn of the fifth industrial revolution, Digital Literacy and Inclusion presents a carefully curated selection of case studies, theories, research, and best practices based on digital literacy as a prerequisite for effective digital inclusion More than a dozen experts provide deep insights in stories, research reports, and geographical studies of digital literacy and inclusion models, all from a multi-disciplinary perspective that includes engineering, social sciences, and education. Digital Literacy and Inclusion also highlights a showcase of real-world digital literacy initiatives that have been adopted by communities of practice around the globe. Contributors explore myriad aspects and modalities of digital literacy: digital skills related to creativity, urban data literacy, digital citizenship skills, digital literacy in education, connectivity literacy, online safety skills, problem-solving and critical-thinking digital skills, data literacy skills, mobile digital literacy, algorithmic digital skills, digital health skills, etc. They share the principles and techniques behind successful initiatives and examine the dynamics and structures that enable communities to achieve digital literacy efficiently and sustainably. Their practical solutions, propositions, and findings provide theoretically grounded and evidence-based facts that inform interventions intended to ensure that all citizens have and can enhance their digital literacy while meaningfully and responsibly participating in the digital economy and society. The ideas and histories in this book will appeal to scholars and researchers in the social sciences, engineering, education, sustainable digital technologies, and transformation, and will also be of interest to practitioners in industry, policy, and government.",1
"Habib, Abdulrahman and Alsmadi, Duha and Prybutok, Victor R.",2020,{Factors that determine residents' acceptance of smart city technologies,"While some cities attempt to determine their residents' demand for smart-city technologies, others simply move forward with smart-related strategies and projects. This study is among the first to empirically determine which factors most affect residents' and public servants' intention to use smart-city services. A Smart Cities Stakeholders Adoption Model (SSA), based on Unified Theory of Acceptance and Use of Technology (UTAUT2), is developed and tested on a mid-size U.S. city as a case study. A questionnaire was administered in order to determine the influence of seven factors–effort expectancy, self-efficacy, perceived privacy, perceived security, trust in technology, price value and trust in government–on behaviour intention, specifically the decision to adopt smart-city technologies. Results show that each of these factors significantly influenced citizen intention to use smart-city services. They also reveal perceived security and perceived privacy to be strong determinants of trust in technology, and price value a determinant of trust in government. In turn, both types of trust are shown to increase user intention to both adopt and use smart-city services. These findings offer city officials an approach to gauging residential intention to use smart-city services, as well as identify those factors critical to developing a successful smart-city strategy.","{Factors that determine residents' acceptance of smart city technologiesWhile some cities attempt to determine their residents' demand for smart-city technologies, others simply move forward with smart-related strategies and projects. This study is among the first to empirically determine which factors most affect residents' and public servants' intention to use smart-city services. A Smart Cities Stakeholders Adoption Model (SSA), based on Unified Theory of Acceptance and Use of Technology (UTAUT), is developed and tested on a mid-size U.S. city as a case study. A questionnaire was administered in order to determine the influence of seven factors–effort expectancy, self-efficacy, perceived privacy, perceived security, trust in technology, price value and trust in government–on behaviour intention, specifically the decision to adopt smart-city technologies. Results show that each of these factors significantly influenced citizen intention to use smart-city services. They also reveal perceived security and perceived privacy to be strong determinants of trust in technology, and price value a determinant of trust in government. In turn, both types of trust are shown to increase user intention to both adopt and use smart-city services. These findings offer city officials an approach to gauging residential intention to use smart-city services, as well as identify those factors critical to developing a successful smart-city strategy.",1
"Komninos, Nicos and Pallot, Marc and Schaffers, Hans",2013,{Special Issue on Smart Cities and the Future Internet in Europe,"This Special Issue of the Journal of the Knowledge Economy focuses on how advanced European cities develop strategies towards becoming ""smart cities"", based on the many possible innovative usages of network infrastructures and Internet-based applications, through the engagement of open innovation ecosystems. Part of these strategies is to develop new types of innovation approaches in urban areas, which are characterized, firstly, by a high level of citizen involvement in co-creating Internet-based applications in all sectors of the economy and society; secondly, by the emergence of new forms of collaboration among local governments, research institutes, universities, and companies. Such strategies and the resulting ""innovation ecosystems"" are becoming increasingly relevant given the growing economic and social issues and opportunities that cities are currently facing. This special issue investigates these smart city strategies through four smart city case studies and two papers addressing horizontal issues. The case studies aim to analyze the currently emerging strategies and policies related to identify how the opportunities of the Future Internet are being used for the socio-economic development of urban areas. The four cases also address how cities are redefining their innovation structures and how they started to experiment citizens involvement within the context of open innovation, and present lessons learned that are of interest to smart city stakeholders. {\textcopyright","{Special Issue on Smart Cities and the Future Internet in EuropeThis Special Issue of the Journal of the Knowledge Economy focuses on how advanced European cities develop strategies towards becoming ""smart cities"", based on the many possible innovative usages of network infrastructures and Internet-based applications, through the engagement of open innovation ecosystems. Part of these strategies is to develop new types of innovation approaches in urban areas, which are characterized, firstly, by a high level of citizen involvement in co-creating Internet-based applications in all sectors of the economy and society; secondly, by the emergence of new forms of collaboration among local governments, research institutes, universities, and companies. Such strategies and the resulting ""innovation ecosystems"" are becoming increasingly relevant given the growing economic and social issues and opportunities that cities are currently facing. This special issue investigates these smart city strategies through four smart city case studies and two papers addressing horizontal issues. The case studies aim to analyze the currently emerging strategies and policies related to identify how the opportunities of the Future Internet are being used for the socio-economic development of urban areas. The four cases also address how cities are redefining their innovation structures and how they started to experiment citizens involvement within the context of open innovation, and present lessons learned that are of interest to smart city stakeholders. {\textcopyright",1
"Shin, Seung Yoon and Kim, Dongwook and Chun, Soon Ae",2021,{Digital divide in advanced smart city innovations,"A smart city aims to become a citizen-centered city where citizens actively engage in urban operation and share urban data within a high-tech ICT infrastructure. It premises ‘smart citizens' who can understand and utilize digital technology to adapt well to the various infrastructure of smart cities. In reality, however, not only tech-savvy citizens but those who are not likely to coexist in a smart city. Disadvantaged groups with relatively insufficient awareness and the necessity of technologies might be excluded from smart cities' various benefits. The smart city innovations need to encompass diverse social groups' engagements to claim their legitimacy and sustainability from a long-term perspective. In this light, this study examines the potential digital divide in the advanced technologies used in the emerging 5G smart city era. Using survey data, we investigate if the smart citizens' social and technical readiness in terms of the use experience and necessity of new technologies can predict the adoption and use of the emerging 5G smart city innovations. The empirical results from this study can inform the digital divide between the general public and technology-disadvantaged groups. The findings can also guide policymakers in prioritizing technologies that are accessible and beneficial to all potential residents of smart cities in the future. Finally, the results yield specific policy implications for practitioners who design more inclusive and sustainable smart cities in the 5G era.","{Digital divide in advanced smart city innovationsA smart city aims to become a citizen-centered city where citizens actively engage in urban operation and share urban data within a high-tech ICT infrastructure. It premises ‘smart citizens' who can understand and utilize digital technology to adapt well to the various infrastructure of smart cities. In reality, however, not only tech-savvy citizens but those who are not likely to coexist in a smart city. Disadvantaged groups with relatively insufficient awareness and the necessity of technologies might be excluded from smart cities' various benefits. The smart city innovations need to encompass diverse social groups' engagements to claim their legitimacy and sustainability from a long-term perspective. In this light, this study examines the potential digital divide in the advanced technologies used in the emerging G smart city era. Using survey data, we investigate if the smart citizens' social and technical readiness in terms of the use experience and necessity of new technologies can predict the adoption and use of the emerging G smart city innovations. The empirical results from this study can inform the digital divide between the general public and technology-disadvantaged groups. The findings can also guide policymakers in prioritizing technologies that are accessible and beneficial to all potential residents of smart cities in the future. Finally, the results yield specific policy implications for practitioners who design more inclusive and sustainable smart cities in the G era.",1
"Tinmaz, Hasan and Lee, Yoo Taek and Fanea-Ivanovici, Mina and Baber, Hasnan",2022,{A systematic review on digital literacy,"The purpose of this study is to discover the main themes and categories of the research studies regarding digital literacy. To serve this purpose, the databases of WoS/Clarivate Analytics, Proquest Central, Emerald Management Journals, Jstor Business College Collections and Scopus/Elsevier were searched with four keyword-combinations and final forty-three articles were included in the dataset. The researchers applied a systematic literature review method to the dataset. The preliminary findings demonstrated that there is a growing prevalence of digital literacy articles starting from the year 2013. The dominant research methodology of the reviewed articles is qualitative. The four major themes revealed from the qualitative content analysis are: digital literacy, digital competencies, digital skills and digital thinking. Under each theme, the categories and their frequencies are analysed. Recommendations for further research and for real life implementations are generated.","{A systematic review on digital literacyThe purpose of this study is to discover the main themes and categories of the research studies regarding digital literacy. To serve this purpose, the databases of WoS/Clarivate Analytics, Proquest Central, Emerald Management Journals, Jstor Business College Collections and Scopus/Elsevier were searched with four keyword-combinations and final forty-three articles were included in the dataset. The researchers applied a systematic literature review method to the dataset. The preliminary findings demonstrated that there is a growing prevalence of digital literacy articles starting from the year . The dominant research methodology of the reviewed articles is qualitative. The four major themes revealed from the qualitative content analysis are: digital literacy, digital competencies, digital skills and digital thinking. Under each theme, the categories and their frequencies are analysed. Recommendations for further research and for real life implementations are generated.",1
Radovanovi{\'{c,2023,"{Digital Literacy and Inclusion: Stories, Platforms, Communities","Amid the opportunities and challenges we face at the dawn of the fifth industrial revolution, Digital Literacy and Inclusion presents a carefully curated selection of case studies, theories, research, and best practices based on digital literacy as a prerequisite for effective digital inclusion More than a dozen experts provide deep insights in stories, research reports, and geographical studies of digital literacy and inclusion models, all from a multi-disciplinary perspective that includes engineering, social sciences, and education. Digital Literacy and Inclusion also highlights a showcase of real-world digital literacy initiatives that have been adopted by communities of practice around the globe. Contributors explore myriad aspects and modalities of digital literacy: digital skills related to creativity, urban data literacy, digital citizenship skills, digital literacy in education, connectivity literacy, online safety skills, problem-solving and critical-thinking digital skills, data literacy skills, mobile digital literacy, algorithmic digital skills, digital health skills, etc. They share the principles and techniques behind successful initiatives and examine the dynamics and structures that enable communities to achieve digital literacy efficiently and sustainably. Their practical solutions, propositions, and findings provide theoretically grounded and evidence-based facts that inform interventions intended to ensure that all citizens have and can enhance their digital literacy while meaningfully and responsibly participating in the digital economy and society. The ideas and histories in this book will appeal to scholars and researchers in the social sciences, engineering, education, sustainable digital technologies, and transformation, and will also be of interest to practitioners in industry, policy, and government.","{Digital Literacy and Inclusion: Stories, Platforms, CommunitiesAmid the opportunities and challenges we face at the dawn of the fifth industrial revolution, Digital Literacy and Inclusion presents a carefully curated selection of case studies, theories, research, and best practices based on digital literacy as a prerequisite for effective digital inclusion More than a dozen experts provide deep insights in stories, research reports, and geographical studies of digital literacy and inclusion models, all from a multi-disciplinary perspective that includes engineering, social sciences, and education. Digital Literacy and Inclusion also highlights a showcase of real-world digital literacy initiatives that have been adopted by communities of practice around the globe. Contributors explore myriad aspects and modalities of digital literacy: digital skills related to creativity, urban data literacy, digital citizenship skills, digital literacy in education, connectivity literacy, online safety skills, problem-solving and critical-thinking digital skills, data literacy skills, mobile digital literacy, algorithmic digital skills, digital health skills, etc. They share the principles and techniques behind successful initiatives and examine the dynamics and structures that enable communities to achieve digital literacy efficiently and sustainably. Their practical solutions, propositions, and findings provide theoretically grounded and evidence-based facts that inform interventions intended to ensure that all citizens have and can enhance their digital literacy while meaningfully and responsibly participating in the digital economy and society. The ideas and histories in this book will appeal to scholars and researchers in the social sciences, engineering, education, sustainable digital technologies, and transformation, and will also be of interest to practitioners in industry, policy, and government.",1
"Ismagilova, Elvira and Hughes, Laurie and Dwivedi, Yogesh K. and Raman, K. Ravi",2019,{Smart cities: Advances in research—An information systems perspective,"Smart cities employ information and communication technologies to improve: the quality of life for its citizens, the local economy, transport, traffic management, environment, and interaction with government. Due to the relevance of smart cities (also referred using other related terms such as Digital City, Information City, Intelligent City, Knowledge-based City, Ubiquitous City, Wired City) to various stakeholders and the benefits and challenges associated with its implementation, the concept of smart cities has attracted significant attention from researchers within multiple fields, including information systems. This study provides a valuable synthesis of the relevant literature by analysing and discussing the key findings from existing research on issues related to smart cities from an Information Systems perspective. The research analysed and discussed in this study focuses on number of aspects of smart cities: smart mobility, smart living, smart environment, smart citizens, smart government, and smart architecture as well as related technologies and concepts. The discussion also focusses on the alignment of smart cities with the UN sustainable development goals. This comprehensive review offers critical insight to the key underlying research themes within smart cities, highlighting the limitations of current developments and potential future directions.","{Smart cities: Advances in research—An information systems perspectiveSmart cities employ information and communication technologies to improve: the quality of life for its citizens, the local economy, transport, traffic management, environment, and interaction with government. Due to the relevance of smart cities (also referred using other related terms such as Digital City, Information City, Intelligent City, Knowledge-based City, Ubiquitous City, Wired City) to various stakeholders and the benefits and challenges associated with its implementation, the concept of smart cities has attracted significant attention from researchers within multiple fields, including information systems. This study provides a valuable synthesis of the relevant literature by analysing and discussing the key findings from existing research on issues related to smart cities from an Information Systems perspective. The research analysed and discussed in this study focuses on number of aspects of smart cities: smart mobility, smart living, smart environment, smart citizens, smart government, and smart architecture as well as related technologies and concepts. The discussion also focusses on the alignment of smart cities with the UN sustainable development goals. This comprehensive review offers critical insight to the key underlying research themes within smart cities, highlighting the limitations of current developments and potential future directions.",1
Flores-L{\'{o,2024,{The Role of Inequality for Digital Learning in Pandemic Times: The Case of Mexico City's Civil Society,"This chapter shows how inequalities in digital learning in urban spaces were addressed. The key research question is to determine the role inequality played during the pandemic as part of the technological learning process faced by civil society organizations in Mexico City. It presents how different types of civil society organizations actively engaged in the use of digital tools during the COVID-19 crisis in the Mexico City context. This process covered such aspects as downloading a document, setting up a WhatsApp group, or using Zoom. Although these tools were known before the pandemic, during this challenging period, they were intensely used. Since in some cases, it is believed that there was a direct correlation between such aspects as Wi-Fi access or technological literacy with the city zone where these organizations operate. This work expects to be in the interest of academics and practitioners in the field of education and those who analyze civil society organizations in general.","{The Role of Inequality for Digital Learning in Pandemic Times: The Case of Mexico City's Civil SocietyThis chapter shows how inequalities in digital learning in urban spaces were addressed. The key research question is to determine the role inequality played during the pandemic as part of the technological learning process faced by civil society organizations in Mexico City. It presents how different types of civil society organizations actively engaged in the use of digital tools during the COVID- crisis in the Mexico City context. This process covered such aspects as downloading a document, setting up a WhatsApp group, or using Zoom. Although these tools were known before the pandemic, during this challenging period, they were intensely used. Since in some cases, it is believed that there was a direct correlation between such aspects as Wi-Fi access or technological literacy with the city zone where these organizations operate. This work expects to be in the interest of academics and practitioners in the field of education and those who analyze civil society organizations in general.",1
"Calzada, Igor and Cobo, Cristobal",2015,{Unplugging: Deconstructing the smart city,"This paper explores the subtle notion of unplugging to critically analyze the technological determinism of the Smart City. This exploration suggests that being digitally connected should not be perceived as gaining social capital. This article critiques the assumptions of the Smart City and proposes a 10-dimension conceptual framework. The first section of this article explores hyper-connected societies and how unplugging could be beneficial. The main subjects, Digital Natives, are discussed in the second section of this article. The third section is a decalogue on deconstructing the Smart City, and the final section presents key ideas and questions for future analysis.","{Unplugging: Deconstructing the smart cityThis paper explores the subtle notion of unplugging to critically analyze the technological determinism of the Smart City. This exploration suggests that being digitally connected should not be perceived as gaining social capital. This article critiques the assumptions of the Smart City and proposes a -dimension conceptual framework. The first section of this article explores hyper-connected societies and how unplugging could be beneficial. The main subjects, Digital Natives, are discussed in the second section of this article. The third section is a decalogue on deconstructing the Smart City, and the final section presents key ideas and questions for future analysis.",1
"Silva, Bhagya Nathali and Khan, Murad and Han, Kijun",2018,"{Towards sustainable smart cities: A review of trends, architectures, components, and open challenges in smart cities","Smart city is an application of Internet of Things (IoT) notion. Unceasing growth of population and urbanization have intensified innovative ways to handle urbanization with minimal impact on environment, citizen lifestyles, and governance. Initial integration of information communication technology (ICT) into city operations have promoted telicity, information city, and digital city concepts. Later, the conception of IoT has founded the smart cities, which support the city operations intelligently with minimal human interaction. Smart city emerged as a solution to address the challenges arise with exponential growth of urbanization and population. However, smart city concept is still evolving and not mainstreamed throughout the globe due to technological, economical, and governing barriers. Therefore, this paper aims to deliver the essence of smart cities. The paper presents a brief overview of smart cities, followed by the features and characteristics, generic architecture, composition, and real-world implementations of smart cities. Finally, we present some challenges and opportunities identified through extensive literature survey on smart cities.","{Towards sustainable smart cities: A review of trends, architectures, components, and open challenges in smart citiesSmart city is an application of Internet of Things (IoT) notion. Unceasing growth of population and urbanization have intensified innovative ways to handle urbanization with minimal impact on environment, citizen lifestyles, and governance. Initial integration of information communication technology (ICT) into city operations have promoted telicity, information city, and digital city concepts. Later, the conception of IoT has founded the smart cities, which support the city operations intelligently with minimal human interaction. Smart city emerged as a solution to address the challenges arise with exponential growth of urbanization and population. However, smart city concept is still evolving and not mainstreamed throughout the globe due to technological, economical, and governing barriers. Therefore, this paper aims to deliver the essence of smart cities. The paper presents a brief overview of smart cities, followed by the features and characteristics, generic architecture, composition, and real-world implementations of smart cities. Finally, we present some challenges and opportunities identified through extensive literature survey on smart cities.",1
